WineName,WineryName,ABV,Price,Acidity,Body,Ratings
Chardonnay,Bread & Butter,0.41666666666666674,0.04945054945054946,1.0,0.75,0.5073529411764706
Pinot Noir,Bread & Butter,0.41666666666666674,0.04945054945054946,1.0,0.5,0.5220588235294117
Rioja Reserva,Marqués de Riscal,0.5,0.06043956043956044,1.0,0.75,0.617647058823529
Cabernet Sauvignon,Bread & Butter,0.41666666666666674,0.04945054945054946,1.0,0.75,0.5220588235294117
Gavi,La Raia,0.375,0.04395604395604396,1.0,0.25,0.3897058823529407
Bordeaux Supérieur,Château Recougne,0.5,0.03296703296703297,1.0,0.75,0.27941176470588225
Cabernet Sauvignon,Rocklin Ranch,0.5,0.06593406593406592,1.0,0.75,0.47058823529411775
RM Nicholson,Rustenberg,0.45833333333333326,0.04395604395604396,0.5,0.75,0.4485294117647056
Sauvignon Blanc,Klein Constantia,0.41666666666666674,0.04945054945054946,1.0,0.25,0.3897058823529407
Haut-Médoc,Château Fontesteau,0.375,0.05494505494505494,1.0,0.75,0.38235294117647056
Shiraz,Peter Lehmann,0.5,0.06593406593406592,1.0,1.0,0.3602941176470589
Rioja Gran Reserva,Marqués de Cáceres,0.5,0.0879120879120879,1.0,0.75,0.5955882352941173
Gavi,La Toledana,0.375,0.04945054945054946,1.0,0.25,0.36764705882352944
Alicante Bouschet Reserva,Casa Ermelinda Freitas,0.5,0.05494505494505494,1.0,0.75,0.5294117647058822
Pinot Noir,Bread & Butter,0.5,0.12637362637362637,1.0,0.5,0.5220588235294117
Haut-Médoc,Château Coufran,0.375,0.08241758241758243,1.0,0.75,0.3602941176470589
Purple Paradise,Chronic,0.5,0.06043956043956044,1.0,0.75,0.5
Brunello di Montalcino,Piccini,0.45833333333333326,0.15384615384615385,1.0,1.0,0.5294117647058822
Reserva,Viña Pomal,0.5,0.04395604395604396,1.0,0.75,0.4191176470588234
Shiraz,Wynns,0.4916666666666667,0.04395604395604396,1.0,1.0,0.2867647058823528
Cabernet Sauvignon-Merlot,Vergelegen,0.45833333333333326,0.03846153846153847,1.0,0.75,0.4852941176470589
Merlot,Vergelegen,0.45833333333333326,0.03846153846153847,0.0,0.75,0.4852941176470589
Classique,Rupert & Rothschild,0.45833333333333326,0.08241758241758243,1.0,0.75,0.6029411764705883
Haut-Médoc,Château de Sainte Gemme,0.375,0.04395604395604396,1.0,0.75,0.3161764705882355
Bourgogne Gamay,Louis Latour,0.375,0.06043956043956044,1.0,0.25,0.3235294117647056
Merlot,Luis Felipe Edwards,0.5,0.023626373626373626,1.0,0.75,0.0
Reserva Merlot,Luis Felipe Edwards,0.5,0.023626373626373626,1.0,0.75,0.04411764705882337
Gran Reserva Merlot,Luis Felipe Edwards,0.5,0.023626373626373626,1.0,0.75,0.2867647058823528
Rioja Crianza,Marqués de Cáceres,0.45833333333333326,0.03846153846153847,1.0,0.75,0.3088235294117645
Sauvignon Blanc,Waimea,0.41666666666666674,0.03296703296703297,1.0,0.25,0.7941176470588234
Pinot Noir,Roar,0.45833333333333326,0.08241758241758243,1.0,0.5,0.7720588235294112
Viré-Clessé,Cave de Viré,0.41666666666666674,0.05494505494505494,0.5,0.5,0.1838235294117645
Le Volte,Ornellaia,0.45833333333333326,0.12637362637362637,0.5,0.5,0.5147058823529411
El Recio,Matsu,0.5,0.04945054945054946,1.0,1.0,0.6102941176470589
Matsu,Matsu,0.5,0.04945054945054946,1.0,1.0,0.6911764705882355
L'Etoile,Domaine Begude,0.41666666666666674,0.05494505494505494,1.0,0.75,0.47058823529411775
Merlot,Villiera,0.45833333333333326,0.02747252747252748,0.0,0.75,0.3308823529411766
Fleurie,Georges Duboeuf,0.45833333333333326,0.04945054945054946,1.0,0.5,0.2647058823529411
Malbec,Alamos,0.41666666666666674,0.016483516483516487,1.0,1.0,0.3308823529411766
Saint-Émilion Grand Cru,Château Grand Faurie La Rose,0.5,0.0879120879120879,0.5,0.75,0.47058823529411775
Reserva,Porta 6,0.45833333333333326,0.04395604395604396,1.0,0.75,0.5661764705882346
Cabernet Sauvignon,Bread & Butter,0.5,0.13736263736263735,1.0,0.75,0.5220588235294117
Garnacha Blanca Nativa,Bodegas Care,0.41666666666666674,0.03296703296703297,0.5,0.5,0.6102941176470589
Rioja Reserva,Beronia,0.45833333333333326,0.06043956043956044,1.0,0.75,0.5661764705882346
Vinho Verde,Casa de Vila Nova,0.29166666666666674,0.02747252747252748,1.0,0.0,0.40441176470588225
Alvarinho,Casa de Vila Nova,0.29166666666666674,0.02747252747252748,1.0,0.25,0.44117647058823506
Chardonnay,Catena Zapata,0.45833333333333326,0.10989010989010989,1.0,0.75,0.4558823529411762
Malbec,BenMarco,0.5,0.04395604395604396,1.0,1.0,0.46323529411764675
Valpolicella,Tommasi,0.5416666666666667,0.19780219780219782,1.0,0.25,0.2279411764705883
Rioja Gran Reserva,Beronia,0.5,0.10989010989010989,1.0,0.75,0.6985294117647056
Baron Edmond,Rupert & Rothschild,0.45833333333333326,0.17032967032967034,1.0,0.75,0.7279411764705883
Pouilly-Fumé,de Ladoucette,0.41666666666666674,0.17032967032967034,1.0,0.75,0.6544117647058818
Pouilly-Fuissé,Domaine Trouillet,0.41666666666666674,0.19780219780219782,0.5,0.5,0.5294117647058822
Morgon,Château de Pizay,0.45833333333333326,0.04945054945054946,1.0,0.5,0.37499999999999956
Rioja Crianza,Beronia,0.45833333333333326,0.03846153846153847,1.0,0.75,0.3602941176470589
Sauvignon Blanc,Framingham,0.41666666666666674,0.04395604395604396,1.0,0.25,0.6102941176470589
Montagne-Saint-Émilion,Château Tour Bayard,0.5416666666666667,0.06043956043956044,0.5,0.75,0.6029411764705883
Malbec,Mendel,0.5,0.0879120879120879,1.0,1.0,0.6838235294117645
Chianti,Cecchi,0.375,0.02747252747252748,1.0,0.5,0.11764705882352944
Rosso di Montalcino,Banfi,0.5,0.07142857142857142,0.5,0.5,0.36764705882352944
Chianti Rufina,Selvapiana,0.45833333333333326,0.07142857142857142,1.0,0.5,0.5220588235294117
Sauvignon Blanc,Rimapere,0.375,0.07142857142857142,1.0,0.25,0.7058823529411762
Shiraz,Grant Burge,0.5,0.05494505494505494,1.0,1.0,0.2205882352941173
Grüner Veltliner,Winzer Krems,0.375,0.02747252747252748,1.0,0.5,0.13970588235294112
Morgon,Georges Duboeuf,0.41666666666666674,0.05494505494505494,1.0,0.5,0.051470588235293935
Saint-Estèphe,Château Meyney,0.41666666666666674,0.10989010989010989,1.0,0.75,0.5514705882352939
Marsannay Rouge,Louis Latour,0.41666666666666674,0.15384615384615385,1.0,0.5,0.35294117647058787
Vintage Port,Fonseca,1.0,0.14285714285714288,0.0,1.0,0.9264705882352935
Sancerre,Château de Thauvenay,0.33333333333333326,0.09890109890109888,1.0,0.75,0.44117647058823506
Listrac-Médoc,Château Fourcas Dupré,0.375,0.04945054945054946,1.0,0.75,0.34558823529411775
Médoc,Château Tour Haut-Caussan,0.41666666666666674,0.04945054945054946,1.0,0.75,0.3308823529411766
Saint-Estèphe,Château Le Boscq,0.33333333333333326,0.09890109890109888,1.0,0.75,0.5073529411764706
Amarone della Valpolicella Classico,Allegrini,0.625,0.4010989010989011,1.0,1.0,0.8382352941176467
Valpolicella Classico,Allegrini,0.625,0.4010989010989011,1.0,0.25,0.2132352941176472
Valpolicella,Allegrini,0.625,0.4010989010989011,1.0,0.25,0.4852941176470589
El Viejo,Matsu,0.5416666666666667,0.10989010989010989,1.0,1.0,0.8161764705882355
Matsu,Matsu,0.5416666666666667,0.10989010989010989,1.0,1.0,0.6911764705882355
Matsu,Matsu,0.5,0.02747252747252748,1.0,1.0,0.6911764705882355
Matsu,Matsu,0.375,0.10989010989010989,1.0,1.0,0.6911764705882355
Syrah,Boekenhoutskloof,0.45833333333333326,0.18131868131868134,1.0,1.0,0.7499999999999996
Brunello di Montalcino,Banfi,0.5833333333333333,0.26373626373626374,1.0,1.0,0.7720588235294112
Chianti Classico,Castello di Meleto,0.41666666666666674,0.04945054945054946,1.0,0.5,0.4485294117647056
Malbec,Catena Zapata,0.45833333333333326,0.34615384615384615,1.0,1.0,0.6029411764705883
Gewürztraminer,Cave Vinicole de Hunawihr,0.45833333333333326,0.03296703296703297,0.0,1.0,0.37499999999999956
Chablis,Domaine L. Chatelain,0.41666666666666674,0.14835164835164838,1.0,0.75,0.4558823529411762
Pomerol,Château Certan de May,0.41666666666666674,0.5055494505494507,0.5,0.75,0.8161764705882355
Bordeaux Supérieur,Château de la Cour d'Argent,0.375,0.03846153846153847,1.0,0.75,0.19117647058823506
Chardonnay,Cloudy Bay,0.41666666666666674,0.15384615384615385,1.0,0.75,0.5147058823529411
Pinot Noir,Cloudy Bay,0.45833333333333326,0.18131868131868134,1.0,0.5,0.492647058823529
Rioja Reserva,Imperial,0.45833333333333326,0.09890109890109888,1.0,0.75,0.7132352941176467
Chardonnay,Dog Point,0.45833333333333326,0.13736263736263735,1.0,0.75,0.5
Chablis,Domaine L. Chatelain,0.375,0.08241758241758243,1.0,0.75,0.4558823529411762
Vosne-Romanée,Robert Sirugue,0.45833333333333326,0.42857142857142855,1.0,0.5,0.5882352941176467
Châteauneuf-du-Pape,E. Guigal,0.5416666666666667,0.19780219780219782,0.5,1.0,0.6691176470588234
Gigondas,E. Guigal,0.5416666666666667,0.09340659340659341,1.0,0.75,0.4852941176470589
Wild Ferment Chardonnay,Errazuriz,0.375,0.03846153846153847,1.0,0.75,0.33823529411764675
Clos d'Ora,Gérard Bertrand,0.5833333333333333,1.0000000000000002,1.0,0.75,1.0
Clos du Temple,Gérard Bertrand,0.5,1.0000000000000002,1.0,0.75,0.9264705882352935
Shiraz,Grant Burge,0.5,0.12637362637362637,1.0,1.0,0.2205882352941173
Guidalberto,Tenuta San Guido,0.45833333333333326,0.2362637362637363,0.5,0.5,0.6911764705882355
Vintage Widow Pinot Noir,Jackson Estate,0.41666666666666674,0.0879120879120879,1.0,0.5,0.47794117647058787
Puligny-Montrachet,Jean-Louis Chavy,0.41666666666666674,0.31868131868131866,0.5,0.75,0.8014705882352939
Riesling Kabinett,Kendermanns,0.0,0.016483516483516487,1.0,0.25,0.6470588235294117
Brunello di Montalcino,La Serena,0.5,0.20879120879120883,1.0,1.0,0.742647058823529
Langhe Nebbiolo,De Forville,0.45833333333333326,0.03846153846153847,1.0,1.0,0.2720588235294117
Mâcon,Louis Jadot,0.375,0.05494505494505494,1.0,0.25,0.2279411764705883
Rubicon,Meerlust,0.45833333333333326,0.18131868131868134,1.0,0.75,0.8161764705882355
Montepulciano d'Abruzzo,Masciarelli,0.41666666666666674,0.03296703296703297,1.0,0.5,0.34558823529411775
Purple Angel,Montes,0.5416666666666667,0.4286263736263737,1.0,0.75,0.8970588235294112
Sauvignon Blanc,Mud House,0.375,0.06043956043956044,1.0,0.25,0.5955882352941173
Abstract,Orin Swift,0.625,0.20879120879120883,1.0,0.75,0.7279411764705883
Le Serre Nuove,Ornellaia,0.5,0.29120879120879123,1.0,0.75,0.7867647058823528
Chardonnay,Oyster Bay,0.375,0.03021978021978023,1.0,0.75,0.2205882352941173
Barbaresco,Pio Cesare,0.5,0.2527472527472528,1.0,0.75,0.7205882352941178
Chardonnay,Planeta,0.45833333333333326,0.14285714285714288,1.0,0.5,0.6838235294117645
Cometa,Planeta,0.45833333333333326,0.13186813186813187,1.0,0.5,0.6764705882352939
Puligny-Montrachet,Doudet Naudin,0.41666666666666674,0.34615384615384615,0.5,0.75,0.6617647058823528
Barbaresco Riserva,Roberto Sarotto,0.5416666666666667,0.14285714285714288,1.0,0.75,0.8014705882352939
Peter Barlow,Rustenberg,0.5,0.17032967032967034,1.0,0.75,0.6985294117647056
John X Merriman,Rustenberg,0.5,0.06593406593406592,1.0,0.75,0.5661764705882346
Saint-Véran,Vignerons des Grandes Vignes,0.375,0.06043956043956044,0.5,0.5,0.1838235294117645
Marsanne,Tahbilk,0.375,0.03846153846153847,1.0,0.75,0.3088235294117645
Estate Pinot Noir,Ten Minutes by Tractor,0.45833333333333326,0.2142857142857143,1.0,0.5,0.7573529411764706
Pinot Noir,The Ned,0.45833333333333326,0.04395604395604396,1.0,0.5,0.47794117647058787
The Struie,Torbreck,0.5416666666666667,0.2362637362637363,1.0,1.0,0.7573529411764706
Ares,Two Hands,0.5,0.45604395604395603,1.0,1.0,0.9705882352941178
Sauvignon Blanc,Vavasour,0.41666666666666674,0.07142857142857142,1.0,0.25,0.5220588235294117
Cellar Selection Pinot Noir,Villa Maria,0.41666666666666674,0.05494505494505494,1.0,0.5,0.3970588235294117
Grüner Veltliner,Winzer Krems,0.375,0.02747252747252748,1.0,0.5,0.13970588235294112
Malbec,Marcelo Pelleriti,0.45833333333333326,0.03296703296703297,1.0,1.0,0.5220588235294117
Chardonnay,Montes,0.5,0.03296703296703297,1.0,0.75,0.4485294117647056
Sauvignon Blanc,Yealands,0.375,0.02747252747252748,1.0,0.25,0.47058823529411775
Cabernet Sauvignon,Chateau Ste. Michelle,0.45833333333333326,0.05494505494505494,1.0,0.75,0.40441176470588225
Pouilly-Fuissé,Domaine Trouillet,0.41666666666666674,0.12637362637362637,0.5,0.5,0.5294117647058822
Sauvignon Blanc,Yealands,0.375,0.04395604395604396,1.0,0.25,0.47058823529411775
Bordeaux,Château Tour de Bigorre,0.41666666666666674,0.02747252747252748,1.0,0.75,0.15441176470588225
Rioja Crianza,Ontañón,0.45833333333333326,0.02747252747252748,1.0,0.75,0.40441176470588225
Rara Neagra de Purcari,Château Purcari,0.41666666666666674,0.05494505494505494,1.0,0.75,0.6838235294117645
Pinot Noir,Mud House,0.41666666666666674,0.03846153846153847,1.0,0.5,0.2941176470588234
Malbec,Catena Zapata,0.45833333333333326,0.14835164835164838,1.0,1.0,0.6029411764705883
Malbec,Catena Alta,0.45833333333333326,0.14835164835164838,1.0,1.0,0.7941176470588234
Villa Antinori Chianti Classico Riserva,Antinori,0.45833333333333326,0.11538461538461539,1.0,0.5,0.5882352941176467
Cabardès,Château de Pennautier,0.5,0.03296703296703297,1.0,0.75,0.2941176470588234
Rioja Reserva,Marqués de Cáceres,0.5,0.04945054945054946,1.0,0.75,0.4852941176470589
Médoc,Château Tour Saint Bonnet,0.41666666666666674,0.07142857142857142,1.0,0.75,0.19852941176470562
Chardonnay,Saintsbury,0.41666666666666674,0.10989010989010989,0.0,0.75,0.46323529411764675
Bin 2 Shiraz-Mataro,Penfolds,0.5,0.12637362637362637,1.0,1.0,0.40441176470588225
Shiraz,Yellow Tail,0.41666666666666674,0.005494505494505496,1.0,1.0,0.1617647058823528
Shiraz,Cape Mentelle,0.5416666666666667,0.14285714285714288,1.0,1.0,0.47058823529411775
Late Harvest,Royal Tokaji,0.29166666666666674,0.04945054945054946,1.0,0.75,0.5220588235294117
Reserva,Muga,0.5,0.0879120879120879,1.0,0.75,0.6029411764705883
Merlot,Meerlust,0.45833333333333326,0.10989010989010989,0.0,0.75,0.6470588235294117
Cabernet Sauvignon,19 Crimes,0.45833333333333326,0.021978021978021983,1.0,0.75,0.35294117647058787
Tignanello,Antinori,0.5,0.8956043956043958,0.5,0.5,0.992647058823529
Barbaresco,De Forville,0.45833333333333326,0.07142857142857142,1.0,0.75,0.5441176470588234
The Chocolate Block,Boekenhoutskloof,0.5,0.2362637362637363,0.5,0.75,0.7132352941176467
Cabernet Sauvignon,Cape Mentelle,0.5,0.3626373626373626,1.0,0.75,0.6985294117647056
Fronsac,Château Arnauton,0.45833333333333326,0.05494505494505494,0.5,0.5,0.33823529411764675
Haut-Médoc,Château Citran,0.375,0.07692307692307693,1.0,0.75,0.44117647058823506
Pessac-Léognan,Château La Garde,0.375,0.12637362637362637,1.0,0.75,0.6764705882352939
Pessac-Léognan Blanc,Château La Garde,0.375,0.12637362637362637,1.0,0.5,0.4852941176470589
Saint-Estèphe,Château Meyney,0.41666666666666674,0.17032967032967034,1.0,0.75,0.5514705882352939
Sauvignon Blanc,Cloudy Bay,0.41666666666666674,0.29670329670329676,1.0,0.25,0.6838235294117645
Viña del Olivo,Contino,0.45833333333333326,0.3791208791208791,1.0,0.75,0.8897058823529407
Dolcetto d'Alba,De Forville,0.45833333333333326,0.02747252747252748,1.0,0.75,0.2279411764705883
Saint-Joseph,E. Guigal,0.5,0.10439560439560439,0.5,0.75,0.37499999999999956
Pinot Noir,Erath,0.41666666666666674,0.09890109890109888,1.0,0.5,0.3088235294117645
Brunello di Montalcino,Gianni Brunelli,0.5,0.2527472527472528,1.0,1.0,0.7794117647058818
Chardonnay,Hamilton Russell Vineyards,0.41666666666666674,0.18131868131868134,1.0,0.75,0.7132352941176467
Chardonnay,Hanna,0.5,0.11538461538461539,1.0,0.75,0.4558823529411762
Shiraz,Kangarilla Road,0.5,0.04395604395604396,1.0,1.0,0.4338235294117645
Paul Sauer,Kanonkop,0.5,0.25824175824175827,1.0,0.75,0.8897058823529407
Malbec,Las Maletas,0.41666666666666674,0.010989010989010992,1.0,1.0,0.3970588235294117
Le Difese,Tenuta San Guido,0.45833333333333326,0.11538461538461539,0.5,0.5,0.4117647058823528
Châteauneuf-du-Pape,Les Grandes Serres,0.5,0.11538461538461539,0.5,1.0,0.5147058823529411
Bourgogne Pinot Noir,Louis Jadot,0.375,0.06043956043956044,1.0,0.25,0.2205882352941173
Meursault,Louis Jadot,0.375,0.28571428571428575,0.5,0.75,0.7279411764705883
Sauvignon Blanc,Luis Felipe Edwards,0.33333333333333326,0.0,1.0,0.5,0.10294117647058831
Rioja Gran Reserva,Marqués de Riscal,0.5416666666666667,0.2252747252747253,1.0,0.75,0.7499999999999996
Rioja Reserva,Marqués de Riscal,0.5,0.016483516483516487,1.0,0.75,0.617647058823529
Pinot Noir,Mud House,0.41666666666666674,0.09890109890109888,1.0,0.5,0.2941176470588234
Reserva,Muga,0.5,0.30219780219780223,1.0,0.75,0.6029411764705883
Prado Enea Gran Reserva,Muga,0.5,0.30219780219780223,1.0,0.75,0.8235294117647056
Reserva,Muga,0.5,0.12637362637362637,1.0,0.75,0.6029411764705883
Chardonnay,Nautilus,0.375,0.10439560439560439,1.0,0.75,0.5220588235294117
Etna Rosso,Nicosia,0.375,0.04395604395604396,1.0,0.75,0.16911764705882337
Chablis,Olivier Tricon,0.33333333333333326,0.09890109890109888,1.0,0.75,0.5073529411764706
Merlot,Oyster Bay,0.45833333333333326,0.023626373626373626,1.0,0.75,0.2279411764705883
Sauvignon Blanc,Paul Cluver,0.41666666666666674,0.04395604395604396,1.0,0.25,0.4338235294117645
Shiraz,Peter Lehmann,0.5,0.10439560439560439,1.0,1.0,0.3602941176470589
Semillon,Peter Lehmann,0.375,0.09890109890109888,1.0,0.5,0.16911764705882337
Shiraz,Peter Lehmann,0.5,0.17032967032967034,1.0,1.0,0.3602941176470589
Shiraz,Peter Lehmann,0.5,0.15384615384615385,1.0,1.0,0.3602941176470589
Soave Classico,Pieropan,0.33333333333333326,0.12637362637362637,1.0,0.25,0.3970588235294117
Soave,Pieropan,0.33333333333333326,0.12637362637362637,1.0,0.25,0.44117647058823506
Soave Classico,Pieropan,0.375,0.16483516483516486,1.0,0.25,0.3970588235294117
Soave,Pieropan,0.375,0.16483516483516486,1.0,0.25,0.44117647058823506
Rocca,Rocca,0.375,0.16483516483516486,1.0,0.75,0.6838235294117645
Nebbiolo,Pio Cesare,0.5,0.07692307692307693,1.0,1.0,0.47794117647058787
Morey-Saint-Denis,Rémi Seguin,0.375,0.2362637362637363,1.0,0.5,0.37499999999999956
Chardonnay,Rustenberg,0.45833333333333326,0.17032967032967034,1.0,0.75,0.42647058823529393
Five Soldiers,Rustenberg,0.45833333333333326,0.17032967032967034,1.0,0.75,0.742647058823529
Pinot Noir,Saintsbury,0.45833333333333326,0.12087912087912087,1.0,0.5,0.5
Chianti Classico,San Leonino,0.45833333333333326,0.005494505494505496,1.0,0.5,0.33823529411764675
Riesling Kabinett,Schloss Vollrads,0.33333333333333326,0.05494505494505494,1.0,0.25,0.47058823529411775
Riesling Kabinett Trocken,Schloss Vollrads,0.33333333333333326,0.05494505494505494,1.0,0.25,0.4485294117647056
Riesling,Schloss Vollrads,0.33333333333333326,0.05494505494505494,1.0,0.25,0.5441176470588234
Shiraz,Shaw + Smith,0.5,0.14835164835164838,1.0,1.0,0.5735294117647061
Cabernet Sauvignon,Silver Ghost,0.33333333333333326,0.0,0.5,1.0,0.808823529411764
Pinot Noir,Stonier,0.45833333333333326,0.0879120879120879,1.0,0.5,0.37499999999999956
Chardonnay,Stonier,0.41666666666666674,0.15384615384615385,1.0,0.75,0.38235294117647056
Reserve Chardonnay,Stonier,0.41666666666666674,0.15384615384615385,1.0,0.75,0.617647058823529
Estate Pinot Noir,Ten Minutes by Tractor,0.375,0.20884615384615385,1.0,0.5,0.7573529411764706
Sauvignon Blanc,The Ned,0.25,0.04395604395604396,1.0,0.25,0.5808823529411762
Reserva,Tinto Pesquera,0.5416666666666667,0.14285714285714288,1.0,1.0,0.7499999999999996
Descendant,Torbreck,0.5416666666666667,0.6209340659340661,1.0,0.75,0.8455882352941178
Reserva,Muga,0.5,0.3626373626373626,1.0,0.75,0.6029411764705883
Torre Muga,Muga,0.5,0.3626373626373626,1.0,0.75,0.8529411764705879
Marsanne-Roussanne,Trizanne Signature Wines,0.375,0.04395604395604396,1.0,0.5,0.20588235294117618
Vat 1 Sémillon,Tyrrell's,0.25,0.18131868131868134,1.0,0.5,0.6617647058823528
Sémillon,Tyrrell's,0.25,0.18131868131868134,1.0,0.5,0.2279411764705883
Malbec-Bonarda,Viñalba,0.45833333333333326,0.016483516483516487,0.5,0.75,0.44117647058823506
